"from","to","width","title"
"U2AF1L4","NOP53",2,"U2AF1L4-NOP53<br />0.2074"
"WDR88","NOP53",1,"WDR88-NOP53<br />0.1042"
"ZNF599","NOP53",2,"ZNF599-NOP53<br />0.2239"
"ZNF793","NOP53",2,"ZNF793-NOP53<br />0.1566"
"RYR1","PIAS1",1,"RYR1-PIAS1<br />0.1064"
"PRODH2","PPP1R14A",2,"PRODH2-PPP1R14A<br />0.1766"
"PRX","PPP1R14A",2,"PRX-PPP1R14A<br />0.2479"
"RELB","PPP1R14A",2,"RELB-PPP1R14A<br />0.1987"
"RHPN2","PPP1R14A",1,"RHPN2-PPP1R14A<br />0.1269"
"RYR1","PPP1R14A",2,"RYR1-PPP1R14A<br />0.2015"
"U2AF1L4","PPP1R14A",3,"U2AF1L4-PPP1R14A<br />0.2627"
"WDR62","PPP1R14A",2,"WDR62-PPP1R14A<br />0.1529"
"WDR88","PPP1R14A",2,"WDR88-PPP1R14A<br />0.2207"
"ZNF599","PPP1R14A",2,"ZNF599-PPP1R14A<br />0.174"
"ZNF792","PPP1R14A",2,"ZNF792-PPP1R14A<br />0.2457"
"ZNF793","PPP1R14A",2,"ZNF793-PPP1R14A<br />0.2139"
"PRX","PRODH2",1,"PRX-PRODH2<br />0.1214"
"RYR1","PRODH2",2,"RYR1-PRODH2<br />0.1579"
"U2AF1L4","PRODH2",2,"U2AF1L4-PRODH2<br />0.1875"
"WDR62","PRODH2",1,"WDR62-PRODH2<br />0.1326"
"WDR88","PRODH2",1,"WDR88-PRODH2<br />0.1134"
"ZFAND5","PRODH2",1,"ZFAND5-PRODH2<br />0.1197"
"ZNF599","PRODH2",2,"ZNF599-PRODH2<br />0.177"
"ZNF792","PRODH2",1,"ZNF792-PRODH2<br />0.1241"
"ZNF793","PRODH2",2,"ZNF793-PRODH2<br />0.1874"
"RELB","PRX",2,"RELB-PRX<br />0.1686"
"RHPN2","PRX",2,"RHPN2-PRX<br />0.1734"
"RYR1","PRX",2,"RYR1-PRX<br />0.1925"
"U2AF1L4","PRX",3,"U2AF1L4-PRX<br />0.34"
"WDR62","PRX",1,"WDR62-PRX<br />0.1388"
"WDR88","PRX",2,"WDR88-PRX<br />0.1715"
"ZFAND5","PRX",2,"ZFAND5-PRX<br />0.2033"
"ZNF599","PRX",2,"ZNF599-PRX<br />0.2466"
"ZNF792","PRX",2,"ZNF792-PRX<br />0.2155"
"ZNF793","PRX",2,"ZNF793-PRX<br />0.2451"
"RHPN2","RELB",2,"RHPN2-RELB<br />0.2351"
"RYR1","RELB",2,"RYR1-RELB<br />0.2154"
"U2AF1L4","RELB",1,"U2AF1L4-RELB<br />0.1364"
"WDR62","RELB",2,"WDR62-RELB<br />0.1521"
"WDR88","RELB",1,"WDR88-RELB<br />0.1038"
"ZNF599","RELB",2,"ZNF599-RELB<br />0.1924"
"ZNF792","RELB",2,"ZNF792-RELB<br />0.2316"
"ZNF793","RELB",2,"ZNF793-RELB<br />0.1545"
"RYR1","RHPN2",2,"RYR1-RHPN2<br />0.2174"
"U2AF1L4","RHPN2",2,"U2AF1L4-RHPN2<br />0.1502"
"WDR62","RHPN2",2,"WDR62-RHPN2<br />0.1898"
"WDR88","RHPN2",2,"WDR88-RHPN2<br />0.1918"
"ZFAND5","RHPN2",1,"ZFAND5-RHPN2<br />0.1199"
"ZNF599","RHPN2",2,"ZNF599-RHPN2<br />0.1571"
"ZNF792","RHPN2",2,"ZNF792-RHPN2<br />0.2406"
"ZNF793","RHPN2",1,"ZNF793-RHPN2<br />0.118"
"U2AF1L4","RYR1",3,"U2AF1L4-RYR1<br />0.3234"
"WDR62","RYR1",3,"WDR62-RYR1<br />0.2832"
"WDR88","RYR1",3,"WDR88-RYR1<br />0.3153"
"ZFAND5","RYR1",3,"ZFAND5-RYR1<br />0.2587"
"ZNF599","RYR1",4,"ZNF599-RYR1<br />0.4125"
"ZNF792","RYR1",2,"ZNF792-RYR1<br />0.2489"
"ZNF793","RYR1",4,"ZNF793-RYR1<br />0.3689"
"WDR62","U2AF1L4",3,"WDR62-U2AF1L4<br />0.2783"
"WDR88","U2AF1L4",2,"WDR88-U2AF1L4<br />0.2006"
"ZFAND5","U2AF1L4",2,"ZFAND5-U2AF1L4<br />0.179"
"ZNF599","U2AF1L4",4,"ZNF599-U2AF1L4<br />0.3886"
"ZNF792","U2AF1L4",3,"ZNF792-U2AF1L4<br />0.2947"
"ZNF793","U2AF1L4",3,"ZNF793-U2AF1L4<br />0.2991"
"WDR88","WDR62",2,"WDR88-WDR62<br />0.2328"
"ZFAND5","WDR62",2,"ZFAND5-WDR62<br />0.2466"
"ZNF599","WDR62",3,"ZNF599-WDR62<br />0.3262"
"ZNF792","WDR62",3,"ZNF792-WDR62<br />0.2848"
"ZNF793","WDR62",3,"ZNF793-WDR62<br />0.2506"
"ZFAND5","WDR88",1,"ZFAND5-WDR88<br />0.1176"
"ZNF599","WDR88",4,"ZNF599-WDR88<br />0.4182"
"ZNF792","WDR88",3,"ZNF792-WDR88<br />0.3264"
"ZNF793","WDR88",2,"ZNF793-WDR88<br />0.2137"
"ZNF599","ZFAND5",2,"ZNF599-ZFAND5<br />0.1949"
"ZNF792","ZFAND5",1,"ZNF792-ZFAND5<br />0.1432"
"ZNF793","ZFAND5",3,"ZNF793-ZFAND5<br />0.2793"
"ZNF792","ZNF599",4,"ZNF792-ZNF599<br />0.4058"
"ZNF793","ZNF599",4,"ZNF793-ZNF599<br />0.3641"
"ZNF793","ZNF792",2,"ZNF793-ZNF792<br />0.221"
"AP1G2","ANG",2,"AP1G2-ANG<br />0.2235"
"AP4S1","ANG",2,"AP4S1-ANG<br />0.2339"
"BCL2L2","ANG",2,"BCL2L2-ANG<br />0.2307"
"BRMS1L","ANG",1,"BRMS1L-ANG<br />0.1102"
"CCNB1IP1","ANG",2,"CCNB1IP1-ANG<br />0.1723"
